date,"FinBERT_Score (-1, 1)",Article_Count
2022-07-28,-0.039017382252495736,240
2022-07-29,-0.09319682949795746,130
2022-07-30,-0.030039597169629166,49
2022-07-31,-0.22855271826582876,55
2022-08-01,-0.13541644982372722,132
2022-08-02,-0.13719958388425696,104
2022-08-03,0.011199171351658743,86
2022-08-04,-0.061394148576279395,113
2022-08-05,0.03189764135251088,84
2022-08-06,-0.08541855851517004,51
2022-08-07,0.05372128295838027,37
2022-08-08,-0.09251526541790211,77
2022-08-09,-0.44634786231126067,229
2022-08-10,-0.06728974721558831,136
2022-08-11,0.04103292072498489,164
2022-08-12,-0.2876689013206219,149
2022-08-13,-0.20899556752782864,61
2022-08-14,0.027843455293853032,38
2022-08-15,-0.04493882510789924,88
2022-08-16,0.004327873367330303,115
2022-08-17,-0.01669986779987812,125
2022-08-18,-0.010661992466165907,189
2022-08-19,-0.10297906096501831,114
2022-08-20,-0.1541813342472571,57
2022-08-21,-0.06520187760498829,41
2022-08-22,-0.20574225101691598,130
2022-08-23,0.0389230254434609,173
2022-08-24,-0.0425746418218801,144
2022-08-25,-0.028407465757213927,190
2022-08-26,0.00724174781580982,115
2022-08-27,-0.021306845703688654,46
2022-08-28,-0.03118075256324595,42
2022-08-29,0.061510170085074485,106
2022-08-30,-0.08177805919642689,181
2022-08-31,-0.26030271030199453,166
2022-09-01,-0.050818209776714925,124
2022-09-02,0.09916784941915657,143
2022-09-03,-0.056963023419181504,78
2022-09-04,0.013024531126497908,47
2022-09-05,-0.0337011443855437,76
2022-09-06,0.09498339011954765,150
2022-09-07,0.1307138088159263,190
2022-09-08,0.04563180370705909,145
2022-09-09,0.0045461432824582875,147
2022-09-10,-0.1734233145419109,56
2022-09-11,-0.028565575203133953,45
2022-09-12,-0.029544449995886138,141
2022-09-13,-0.089754568658746,161
2022-09-14,-0.37998320514707634,331
2022-09-15,-0.12175894014261739,196
2022-09-16,-0.08131561310717253,99
2022-09-17,-0.009374855172440962,54
2022-09-18,-0.18838371287071795,33
2022-09-19,-0.08823356928649484,97
2022-09-20,-0.037790868270402664,136
2022-09-21,-0.05621760556095978,128
2022-09-22,-0.05625934805052631,209
2022-09-23,-0.052721776671326125,166
2022-09-24,-0.09365599378943443,60
2022-09-25,-0.0698636371027013,56
2022-09-26,-0.20882966898851038,127
2022-09-27,-0.019835968165924506,140
2022-09-28,0.09517214785640439,150
2022-09-29,-0.10179995532667237,276
2022-09-30,-0.09970151081129357,189
2022-10-01,-0.19830263144750562,72
2022-10-02,-0.022094806638669293,53
2022-10-03,-0.0630994782223251,178
2022-10-04,-0.03439985063095488,199
2022-10-05,0.0010578959714621305,170
2022-10-06,0.07924894168622994,479
2022-10-07,0.04682381252709582,249
2022-10-08,0.07699504197807983,80
2022-10-09,-0.06857604106388442,41
2022-10-10,0.05458746364680477,104
2022-10-11,0.1762219876082254,238
2022-10-12,0.1540986406097604,278
2022-10-13,0.07265168952238228,225
2022-10-14,0.0067474231245401115,138
